,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
240,2006-02-04,West Brom,Blackburn,2,0,H,2006-02-04,2,4,0,0,2,4,3,0,3
241,2006-02-04,West Ham,Sunderland,2,0,H,2006-02-04,5,0,2,2,3,-2,3,0,3
242,2006-02-05,Chelsea,Liverpool,2,0,H,2006-02-11,2,1,3,3,-1,-2,3,3,0
243,2006-02-05,Tottenham,Charlton,3,1,H,2006-02-11,3,3,1,1,2,2,3,0,3
244,2006-02-08,Charlton,Liverpool,2,0,H,2006-02-11,3,1,3,3,0,-2,3,3,0
245,2006-02-11,Arsenal,Bolton,1,1,D,2006-02-11,1,1,1,1,0,0,1,1,0
246,2006-02-11,Aston Villa,Newcastle,1,2,A,2006-02-11,1,2,2,2,-1,0,0,3,-3
247,2006-02-11,Everton,Blackburn,1,0,H,2006-02-11,1,0,0,0,1,0,3,0,3
248,2006-02-11,Fulham,West Brom,6,1,H,2006-02-11,6,1,1,1,5,0,3,0,3
249,2006-02-11,Middlesbrough,Chelsea,3,0,H,2006-02-11,3,2,0,0,3,2,3,0,3
250,2006-02-11,Portsmouth,Man United,1,3,A,2006-02-11,1,3,3,3,-2,0,0,3,-3
251,2006-02-11,Wigan,Liverpool,0,1,A,2006-02-11,0,1,1,1,-1,0,0,3,-3
252,2006-02-12,Man City,Charlton,3,2,H,2006-02-18,3,2,2,2,1,0,3,0,3
253,2006-02-12,Sunderland,Tottenham,1,1,D,2006-02-18,1,1,3,3,-2,-2,1,1,0
254,2006-02-13,West Ham,Birmingham,3,0,H,2006-02-18,3,0,0,0,3,0,3,0,3
255,2006-02-14,Liverpool,Arsenal,1,0,H,2006-02-18,1,0,0,0,1,0,3,0,3
256,2006-02-15,Blackburn,Sunderland,2,0,H,2006-02-18,2,1,0,0,2,1,3,0,3
